word,lemma,frequency
clearly,clearly,35837
hat,hat,35828
agreed,agree,35752
johnny,johnny,35735
corner,corner,35734
code,code,35711
note,note,35701
tommy,tommy,35690
due,due,35669
correct,correct,35595
apologize,apologize,35587
language,language,35569
stars,star,35549
faster,fast,35547
cars,car,35472
folks,folk,35431
bullshit,bullshit,35397
i.,i.,35384
fellow,fellow,35335
several,several,35232
grandma,grandma,35216
shows,show,35209
leader,leader,35155
leaves,leave,35150
restaurant,restaurant,35126
east,east,35109
shouting,shouting,35108
blind,blind,35066
ghost,ghost,35051
cup,cup,35016
gotten,get,35001
tight,tight,34972
conversation,conversation,34935
tells,tell,34873
lies,lie,34827
nor,nor,34821
pulled,pull,34816
hanging,hang,34808
speed,speed,34794
stories,story,34792
health,health,34788
advice,advice,34773
held,hold,34733
uh-huh,uh-huh,34672
murdered,murder,34599
beyond,beyond,34595
rule,rule,34517
hardly,hardly,34482
possibly,possibly,34442
inspector,inspector,34442
cousin,cousin,34395
trial,trial,34375
emergency,emergency,34359
ought,ought,34342
eddie,eddie,34314
somehow,somehow,34291
hearing,hearing,34211
states,state,34128
account,account,34088
spoke,speak,34035
file,file,33969
understood,understand,33953
angel,angel,33922
tape,tape,33904
milk,milk,33863
powerful,powerful,33854
weapons,weapon,33779
practice,practice,33775
manager,manager,33775
pardon,pardon,33755
vote,vote,33737
jake,jake,33704
national,national,33697
career,career,33682
minister,minister,33653
super,super,33639
taught,teach,33613
robert,robert,33595
biggest,big,33564
plays,play,33550
natural,natural,33540
dancing,dancing,33491
copy,copy,33489
plus,plus,33414
martin,martin,33293
cake,cake,33256
freedom,freedom,33196
among,among,33190
breath,breath,33176
operation,operation,33161
chris,chris,33139
crew,crew,33113
challenge,challenge,33099
market,market,33081
meat,meat,33050
towards,towards,33032
bringing,bring,33020
dropped,drop,32997
student,student,32987
lied,lie,32979
strength,strength,32950
size,size,32841
breathe,breathe,32841
color,color,32837
monster,monster,32819
loud,loud,32757
photo,photo,32757
aw,aw,32746
nearly,nearly,32730
sight,sight,32715
greatest,great,32692
games,game,32623
bridge,bridge,32588
dressed,dress,32547
arrested,arrest,32506
horrible,horrible,32492
coach,coach,32471
planning,planning,32400
checked,check,32333
breaking,break,32321
noticed,notice,32301
fantastic,fantastic,32288
screams,scream,32273
serve,serve,32190
ideas,idea,32182
investigation,investigation,32178
center,center,32146
older,old,32130
pack,pack,32110
soldiers,soldier,32098
nonsense,nonsense,32097
doc,doc,32073
project,project,32040
training,training,31973
example,example,31952
trick,trick,31937
prepared,prepare,31857
science,science,31833
united,united,31812
travel,travel,31791
incredible,incredible,31786
grandpa,grandpa,31767
paying,pay,31696
character,character,31657
teeth,tooth,31615
criminal,criminal,31574
charles,charles,31567
chinese,chinese,31561
truly,truly,31514
honestly,honestly,31501
bro,bro,31473
survive,survive,31440
bobby,bobby,31434
target,target,31415
feed,feed,31409
nurse,nurse,31406
fake,fake,31355
records,record,31339
breathing,breathe,31306
sweetie,sweetie,31295
numbers,number,31285
oil,oil,31269
suicide,suicide,31261
belong,belong,31225
whoo,whoo,31217
perfectly,perfectly,31201
amy,amy,31193
forgotten,forget,31150
remain,remain,31135
original,original,31108
papa,papa,31095
onto,onto,31052
concerned,concerned,31047
credit,credit,31029
ugh,ugh,31008
invited,invite,30993
discuss,discuss,30922
research,research,30907
easier,easy,30876
